SMILES,IC50_nM
CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,2229
COCCN(C)/N=N/c1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,33189.45
Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,18
CCN(CC)c1ccc(NC(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,10000
Cc1ccc(NC(=O)Nc2cccc(N3CCCC3)c2)cc1Nc1nccc(-c2cccnc2)n1,724.44
COc1ccc(C(=O)Nc2ccc(Br)cc2)cc1Nc1nccc(-c2cccnc2)n1,4.79
Cc1ccc(-c2ccnc(Nc3cccc(OC(F)(F)C(F)F)c3)n2)cc1,50118.72
Cc1ccc(N)cc1Nc1nccc(-c2cccnc2)n1,1513.56
Cc1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,199.53
CN1CCN(Cc2ccc(C(=O)Nc3cccc(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,100
Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,60.1
Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,18.1
CC1CN(c2cncnc2)Cc2cc(C(=O)Nc3cc(CN4CCN(C)CC4)cc(C(F)(F)F)c3)ccc21,2100
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,8778
COc1ccc(Nc2cc(-c3ccc(C(=O)NCCNC(=O)c4c(F)cccc4Cl)cc3)ncn2)cc1,6200
COC(=O)c1ccc(C(=O)/C(=C\c2ccc(F)c([N+](=O)[O-])c2)SCc2ccc(Br)cc2)cc1,750
O=C(/C(=C\c1ccc(F)c([N+](=O)[O-])c1)SCc1ccc(Br)cc1)c1ccc(C(=O)N2CCN(CCO)CC2)cc1,500
CN1CCN(c2ccc(C(=O)Nc3cccc(C#Cc4cccc5[nH]nc(N)c45)c3)cc2C(F)(F)F)CC1,151
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,1
