,Unnamed: 0,id,standard_smiles,mol,rule_of_five,rule_of_ghose,rule_of_veber,rule_of_reos,alerts_BMS,alerts_PAINS,alerts_SureChEMBL,alerts_Chelator,alerts_AlphaScreen-Hitters,alerts_Frequent-Hitter,filters_NIBR,filter_complexity,filter_bredt,filter_molecular_graph,cluster,smiles
0,1,compound_0184,COc1ccc(C(=O)Nc2ccc(Cn3ccnc3)cc2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7352d5a2d5b0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1621,COc1ccc(C(=O)Nc2ccc(Cn3ccnc3)cc2)cc1OC
1,5,compound_2385,COc1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7352d5a2d770>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,232,COc1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1OC
2,6,compound_1904,COC(=O)C(O)(CC(=O)c1ccc(OC)cc1)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7352d5a2d700>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1620,COC(=O)C(O)(CC(=O)c1ccc(OC)cc1)C(F)(F)F
3,7,compound_0909,CC(C)c1ccc(NC(=O)c2c[nH]c(=O)n(-c3ccccc3)c2=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352d5a2d690>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1619,CC(C)c1ccc(NC(=O)c2c[nH]c(=O)n(-c3ccccc3)c2=O)cc1
4,9,compound_1939,COC(=O)C(C)Sc1nnc(NC(=O)Nc2ccccc2)s1,<rdkit.Chem.rdchem.Mol object at 0x7352d5a2dc40>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1618,COC(=O)C(C)Sc1nnc(NC(=O)Nc2ccccc2)s1
5,10,compound_1918,O=C(CSc1ccc(Cl)cc1)Nc1ccc(-n2cncn2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352d5a2dbd0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1617,O=C(CSc1ccc(Cl)cc1)Nc1ccc(-n2cncn2)cc1
6,12,compound_1041,CSc1ccc(-c2nnnn2C2CC(=O)C3OCC2O3)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352d5a2da80>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1616,CSc1ccc(-c2nnnn2C2CC(=O)C3OCC2O3)cc1
7,13,compound_2780,CCCOc1cccc(C(=O)Nc2nnn(CC)n2)c1,<rdkit.Chem.rdchem.Mol object at 0x7352d5a2da10>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1615,CCCOc1cccc(C(=O)Nc2nnn(CC)n2)c1
8,14,compound_1333,COc1cc(NC(C)=O)c(C(=O)c2ccco2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7352d5a2d9a0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1614,COc1cc(NC(C)=O)c(C(=O)c2ccco2)cc1OC
9,16,compound_1139,CC(O)c1nc2ccccc2n1Cc1ccccc1F,<rdkit.Chem.rdchem.Mol object at 0x7352d5a2d8c0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1613,CC(O)c1nc2ccccc2n1Cc1ccccc1F
