id,standard_smiles,syba_score,mce18,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings,score
compound_1041,CSc1ccc(-c2nnnn2C2CC(=O)C3OCC2O3)cc1,28.27280983781357,106.36363636363636,318.07866130799994,0.42857142857142855,7,0,4,8,22,3,0,79.13000000000001,0.7895783650116446,1.3173999999999997,4.3771264767142375,0,2,2,1,1,2,0,2,2,-7.1599507
compound_1139,CC(O)c1nc2ccccc2n1Cc1ccccc1F,97.25354724605742,64.0,270.11684132,0.1875,3,1,3,4,20,3,0,38.050000000000004,0.7928158259700375,3.277000000000002,2.359757327849257,0,0,0,2,1,3,0,0,0,7.5440917
compound_0323,CC1CCN(C(=O)CSc2nc(=O)[nH]c3c2CCCC3)CC1,111.66946274335216,55.75757575757576,321.151097976,0.6875,5,1,3,6,22,3,0,66.06,0.6829274946441412,1.9993,2.5552881923515915,1,1,2,0,1,1,0,1,1,11.01185
compound_2522,CCn1ncc(C(C#N)c2nc3ccccc3s2)c(Cl)c1=O,85.31051256093005,68.0,330.03420965199996,0.2,5,0,3,7,22,3,0,71.57,0.7390464455574772,3.1817800000000025,3.2086534752525173,0,0,0,1,2,3,0,0,0,-1.580276
compound_0037,COc1ccc(-c2nc(-c3ccc4c(c3)OCO4)no2)cc1OC,112.1174648195528,81.41666666666667,326.090271548,0.17647058823529413,7,0,4,7,24,4,0,75.84,0.728650419120982,3.1495000000000015,2.049596540253754,0,1,1,2,1,3,0,0,0,-7.116295
compound_0466,O=C(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1cccnc1,151.84031742505297,76.0,314.116761068,0.0,5,2,4,5,24,3,0,70.67,0.6026809042275678,3.877200000000002,1.895738329450472,0,0,0,2,2,4,0,0,0,-8.567156
compound_0827,O=C(c1cccnc1)C(CCc1ccccn1)c1ccccn1,81.2245797034867,56.0,303.137162164,0.15789473684210525,4,0,3,4,23,6,0,55.74,0.6542682197660991,3.470900000000001,2.796773160635274,0,0,0,0,3,3,0,0,0,-12.350985
compound_2815,Cc1cccn2cc(CNS(=O)(=O)c3cc(F)ccc3F)nc12,135.26063883946472,57.0,337.0696540960001,0.13333333333333333,5,1,3,8,23,4,0,63.47,0.795062279401538,2.39942,2.365135686435371,0,0,0,1,2,3,0,0,0,-3.264392
compound_0192,c1ccc(-n2nnnc2Sc2ncnc3sccc23)cc1,106.80180267169818,72.0,312.025186256,0.0,6,0,4,8,21,3,0,69.38,0.5418117594394787,2.818200000000001,2.395775488564036,0,0,0,1,3,4,0,0,0,-9.8808775
compound_2776,CCCN1C(=O)C(O)(CC(=O)c2ccccc2Cl)c2ccccc21,109.36788533790704,77.25347222222223,343.097521116,0.2631578947368421,4,1,3,5,24,5,0,57.61000000000001,0.8444301472014893,3.5572000000000026,2.579313831281363,0,1,1,2,0,2,0,0,0,-11.273391
