standard_smiles,pCHEMBL
C=CC(=O)Nc1ccc(-c2cn([C@@H]3CN[C@H](C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)C3)nn2)cn1,7.444189586587962
C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,6.0
CC(=O)N1CCN([C@H]2C[C@@H](n3cc(-c4cc(O)ccc4F)c4c(N)ncnc43)C2)CC1,5.376750709602099
CC(=O)Nc1ccc(-c2ccc(C(=O)N[C@@H](C)C(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)cn1,5.673876829498338
CC(=O)Nc1ccc(-c2ccc(C(=O)N[C@H]3CN[C@@H](C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)C3)cc2)cn1,4.674474782759512
CC(=O)Nc1ccc(-c2ccc(NCC(=O)Nc3ccc(CN4CCNCC4)c(C(F)(F)F)c3)cc2)cn1,6.055517327849832
CC(=O)Nc1ccc(-c2cccc(C(=O)N[C@@H](C)C(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c2)cn1,5.31740581593645
CC(=O)Nc1ccc(-c2cccc(C(=O)N[C@H]3CN[C@@H](C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)C3)c2)cn1,5.459522695616385
CC(=O)Nc1ccc(-c2cn([C@@H]3CN[C@H](C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)C3)nn2)cn1,7.678659193392824
CC(=O)Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,5.2399999527072705
CC(=O)Nc1n[nH]c2cc(-c3cn([C@@H]4CN[C@H](C(=O)Nc5ccc(Br)cc5)C4)nn3)ccc12,7.348654754596817
CC(=O)Nc1n[nH]c2cc(-c3cn([C@@H]4CN[C@H](C(=O)Nc5ccc(Cl)c(C(F)(F)F)c5)C4)nn3)ccc12,7.2333878264526525
CC(=O)Nc1n[nH]c2cc(-c3cn([C@@H]4CN[C@H](C(=O)Nc5ccc(Cl)cc5Cl)C4)nn3)ccc12,7.68497125055476
CC(=O)Nc1nc2ccc(-c3cn([C@@H]4CN[C@H](C(=O)Nc5ccc(Br)cc5)C4)nn3)nc2s1,7.463638248999537
CC(=O)Nc1nc2ccc(-c3cn([C@@H]4CN[C@H](C(=O)Nc5ccc(Cl)c(C(F)(F)F)c5)C4)nn3)nc2s1,7.427232590626144
CC(=O)Nc1nc2ccc(-c3cn([C@@H]4CN[C@H](C(=O)Nc5ccc(Cl)cc5Cl)C4)nn3)nc2s1,7.364689459191247
CC(=O)Nc1nc2ccc(-c3cn([C@@H]4CN[C@H](C(=O)Nc5ccc(F)c(F)c5)C4)nn3)nc2s1,6.209391132457935
